title,date,venue,price,organizer,description,image_url,concert_link,location,event_type
Disney Pride In Concert Feat. the Atlanta Gay Men's Chorus & the ASO,6/21/2025 23:00,Atlanta Symphony Hall,See Website for more details,Atlanta Symphony Orchestra,"Disney PRIDE in Concert Performed by Atlanta Gay Men's Chorus With the Atlanta Symphony Orchestra Something magical is coming! Join the Atlanta Gay Men's Chorus and the Atlanta Symphony Orchestra for a spectacular, new concert that celebrates LGBTQ+ life, love, family, and pride through the combination of timeless songs from the Disney songbook, curated video clips from the Disney vault, and the personal life experiences of local chorus members.",https://s1.ticketm.net/dam/a/21b/aa5ec300-681f-4977-8afb-f57328b4921b_SOURCE,https://www.ticketmaster.com/disney-pride-in-concert-feat-the-atlanta-georgia-06-21-2025/event/0E006152A5473CB5,"Atlanta, United States Of America",Classical - Symphonic
Orquesta Filarmanica de la Ciudad de Mexico: Laura Cmet- Solistas OFCM,6/22/2025 0:00,Sala Silvestre Revueltas,See Website for more details,Orquesta Filarmónica de la Ciudad de México,"Solistas OFCM Laura Cmet, directora Pawel Sliwinski, violín Fernando Vizcayno, violín Wolfgang Amadeus Mozart - Concertone en do mayor, K 190 Louise Farrenc - Sinfonía no. 3 Alberto Ginastera - Cuatro danzas de Estancia",https://s1.ticketm.net/dam/a/41f/f686bdb6-0296-4765-83fd-be394efbb41f_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://www.ticketmaster.com.mx/orquesta-filarmonica-de-la-ciudad-de-mexico-21-06-2025/event/3D00626C95E81931,"México, Mexico",Classical - Symphonic
Verdi's Requiem,6/22/2025 0:00,Meridian Arts Centre: George Weston,See Website for more details,Kindred Spirits Orchestra,See Website for more details,https://s1.ticketm.net/dam/a/f1b/fd1d4cc7-befd-41f0-8ce9-c66e1a502f1b_TABLET_LANDSCAPE_16_9.jpg,https://www.ticketmaster.ca/verdis-requiem-toronto-ontario-06-21-2025/event/10006245EF38453D,"Toronto, Canada",Classical - Classical/Vocal
North Carolina Symphony - Mozart By Moonlight,6/22/2025 0:00,Koka Booth Amphitheatre,See Website for more details,North Carolina Symphony Orchestra,"Taichi Fukumura, conductor Nathan Meltzer, violin Mozart: Overture to The Marriage of Figaro Mozart: Violin Concerto No. 5 Mozart: Symphony No. 38",https://s1.ticketm.net/dam/e/3af/599060de-701b-4d9b-ad00-e3a498aa03af_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/north-carolina-symphony-mozart-by-moonlight-cary-north-carolina-06-21-2025/event/2D006289DF3C6140,"Cary, United States Of America",Classical - Symphonic
Boston Philharmonic Youth Orchestra,6/22/2025 1:00,Palacio de Bellas Artes,See Website for more details,See Website for more details,"Boston Philharmonic Youth Orchestra Iniciada la función el ingreso del publico demorado esta sujeto al programa: Benjamin Zander, director La Orquesta Filarmónica Juvenil de Boston (BPYO) se formó en 2012 bajo los auspicios de la Filarmónica de Boston. Dirigida por Benjamin Zander, tiene como lema: ?Forjando futuros líderes mediante la música?. Los 120 integrantes de la BPYO tienen un rango de edades entre 12 y 21 años, lo cual permite a los más jóvenes colaborar con estudiantes mayores que ya comienzan sus carreras profesionales. La BPYO ofrece una oportunidad única a jóvenes músicos para estudiar el gran repertorio orquestal dentro de una dinámica comunidad musical e intelectualmente estimulante. En 2019 la Orquesta fue nombrada Mejor Ensamble de Música Clásica por la Boston Magazine. En su temporada inaugural 2012-2013 tocó dos conciertos en la Boston Symphony Hall y emprendió una gira por cuatro ciudades en Países Bajos.",https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com.mx/boston-philharmonic-youth-orchestra-8-ingreso-mexico-cdmx-21-06-2025/event/3D0062B4B8293D77,"México CDMX, Mexico",Classical - Symphonic
Concierto Galáctico,6/22/2025 2:00,Forum de Mundo Imperial,See Website for more details,Concierto Galáctico,"¡Prepárate para una noche épica en una galaxia no muy lejana ! El Concierto Galáctico Tour 2025 llega a Forum Mundo Imperial este Sábado 21 de Junio 2025 , con una experiencia musical que te hará viajar a través de las estrellas. más de 70 músicos en escena te harán vibrar con las inolvidables composiciones de John Williams, los que dieron vida a la legendaria saga creada por George Lucas. Un espectáculo sin igual, aclamado en todo México , que ahora aterriza en Acapulco para conquistar a fans de todas las generaciones.",https://s1.ticketm.net/dam/a/0c0/06ff6b09-15ed-475d-94f8-c79df9eec0c0_SOURCE,https://www.ticketmaster.com.mx/concierto-galactico-acapulco-21-06-2025/event/3D0062B082370ACD,"Acapulco, Mexico",Classical - Classical/Vocal
Las Vegas Philharmonic,6/22/2025 2:30,Reynolds Hall,See Website for more details,Las Vegas Philharmonic,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7uauY,"Las Vegas, United States Of America",Classical - Classical/Vocal
Bach Musica: Mozart Piano Concerto in D minor & C.P.E.Bach Magnificat,6/22/2025 5:00," Great Hall, Auckland Town Hall",See Website for more details,Bach Musica NZ,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket Child Policy: This event is not suitable for ages 6 years and under. All patrons require a valid ticket for entry. Bach Musica NZ welcomes young award-winning pianist, Madeleine Xiao, as soloist in Mozart's famous Piano Concerto in D minor. In the second half of the concert, the much lauded Bach Musica NZ chorus and orchestra present the 45-minute glorious Magnificat by C.P.E. Bach, the most gifted son of J.S. Bach. They are joined by vocal soloists Elizabeth Mandeno (soprano), 2024 Lexus Song Quest winner Katie Trigg (alto), Taliai Fifita (tenor) and Edward Larenson (baritone). The concert is conducted by Bach Musica NZ's Music & Artistic Director, Rita Paczian.",https://s1.ticketm.net/dam/a/0e5/b02940e1-91d7-40d2-9e4d-6bf221e4c0e5_CUSTOM.jpg,https://www.ticketmaster.co.nz/bach-musica-mozart-piano-concerto-in-auckland-22-06-2025/event/2400619195500A96,"Auckland, New Zealand",Classical - Symphonic
Masterwork recital - Beethoven/Chopin/Liszt recital,6/22/2025 17:00,"Kampen Kirke, Oslo",See Website for more details,Svein Amund Skara,See Website for more details,https://s1.ticketm.net/dam/a/426/de51a23a-e20c-4ec2-91d3-3a13d3c87426_SOURCE,https://www.ticketmaster.no/event/masterwork-recital-beethoven-chopin-liszt-recital-tickets/754413?language=en-us,"Oslo, Norway",Classical - Classical/Vocal
"Orquesta Sinfónica Nacional Ecos de viaje, 8+. Ingreso 11:45 h.",6/22/2025 18:15,Palacio de Bellas Artes,See Website for more details,Orquesta Sinfónica Nacional,"Orquesta Sinfónica Nacional Ecos de viaje Iniciada la función el ingreso del publico demorado esta sujeto al programa: Ludwig Carrasco, director arti?stico Patricio Cosentino, tuba Jacobo Kostakowsky (1893-1953), Sinfonietta tropical * Roberto Pintos (1965), Concierto para tuba y orquesta ** Ignacio Freijo (1978), Andina para tuba y orquesta ** [encore] Astor Piazzolla (1921-1992), Libertango [arr. Jorge Tagliapietra] Mieczys?aw Weinberg (1919-1996), Sinfoni?a nu?m. 3 en Si menor ** * re-estreno en tiempos modernos ** estreno en Me?xico",https://s1.ticketm.net/dam/a/896/a6ae0bd5-7249-4228-8bce-d8169d484896_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com.mx/orquesta-sinfonica-nacional-ecos-de-viaje-mexico-cdmx-22-06-2025/event/3D00622DA1031B90,"México CDMX, Mexico",Classical - Symphonic
The Princess Bride in Concert,6/22/2025 19:00,Schermerhorn Symphony Center,See Website for more details,Nashville Symphony,See Website for more details,https://s1.ticketm.net/dam/a/b8a/f931cbe7-9364-42f4-a0dc-3b8905507b8a_SOURCE,https://www.ticketmaster.com/event/Z7r9jZ1A7GYqz,"Nashville, United States Of America",Classical - Other
Pride Anthems 2025: The Soundtrack of Resilience,6/22/2025 23:00,The Blue Note,See Website for more details,The Quorus,"Doors at 5:00 pm | Show at 6:00 pm CASHLESS VENUE - The Blue Note services all credit and debit payments only. No cash accepted. General Admission tickets are standing room only and are available on a first come first serve basis. Bags (max size 12"" x 6"" x 12"") are allowed and will be searched upon entry. Exceptions will be made for necessary medical equipment and bags for nursing mothers. We encourage you to pack light with only the necessities to make the entry process as smooth as possible. Advance tickets can be purchased online or at The Blue Note box office. Once the doors have opened, if tickets are still available, they can be purchased at the Blue Note",https://s1.ticketm.net/dam/e/990/70cf2036-3798-448e-b0af-913a4ada7990_SOURCE,https://www.ticketmaster.com/pride-anthems-2025-the-soundtrack-of-columbia-missouri-06-22-2025/event/060062AD9A082E34,"Columbia, United States Of America",Classical - Classical/Vocal
"Coro de Madrigalistas B. a. Concierto por la Paz, 8+. Ingreso 16:30 h",6/22/2025 23:00,Palacio de Bellas Artes,See Website for more details,See Website for more details,"Coro de Madrigalistas Bellas Artes, concierto por la Paz, Palacio de Bellas Artes.",https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com.mx/coro-de-madrigalistas-b-a-concierto-mexico-cdmx-22-06-2025/event/3D0062B181B50CB0,"México CDMX, Mexico",Classical - Symphonic
HAUSER - The Rebel Is Back,6/22/2025 23:30,TD Pavilion at the Mann,See Website for more details,HAUSER,**THIS IS A RAIN OR SHINE EVENT**,https://s1.ticketm.net/dam/a/e1c/cfc88d38-f24c-46e5-8d87-6f82e496fe1c_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://www.ticketmaster.com/hauser-the-rebel-is-back-philadelphia-pennsylvania-06-22-2025/event/020061429E952EAF,"Philadelphia, United States Of America",Classical - Classical/Vocal
3rd Annual Global Chinese Song Singing Competition,6/22/2025 23:30,Meridian Arts Centre: George Weston,See Website for more details,See Website for more details,"3rd annual Global Chinese Song Singing Competition organized by Artists International Music & Dance Association & co-organized by Toronto School of Music. The entire event would be accompanied by Toronto School of Music Orchestra. The competition includes Chinese Modern Art Song, Chinese Opera, Aria & Ensemble, Chinese Folk Song, POP Song, Children's Song & Chorus. Bel Canto, POP and Folk singings.",https://s1.ticketm.net/dam/e/958/5a1c33b8-6711-4d81-a387-c22999617958_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.ca/3rd-annual-global-chinese-song-singing-toronto-ontario-06-22-2025/event/100062BADDA64DA4,"Toronto, Canada",Classical - Classical/Vocal
New Blood Calgary Civic Symphony,6/23/2025 1:30,Southern Alberta Jubilee Auditorium,See Website for more details,See Website for more details,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.ca/new-blood-calgary-civic-symphony-calgary-alberta-06-22-2025/event/1100623D832619E3,"Calgary, Canada",Classical - Symphonic
Six-thirty Session: Beethoven 5,6/25/2025 6:30," Great Hall, Auckland Town Hall",See Website for more details,Auckland Philharmonia,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket Child Policy: This performance is not suitable for children under six years old. Children under the age of 16 must be accompanied by an adult at all APO events. Conductor giordano bellincampi Violin arabella steinbacher Mozart violin concerto no.5 'turkish' Beethoven symphony no.5 Est. Running time one hour and 10 minutes, no interval The superb german violinist arabella steinbacher is always effortlessly elegant, And she has the perfect foil in mozarts final violin concerto. Then beethovens lithe, muscular symphony. The fifth is a favourite for a reason. No matter how many times youve heard this piece, its always unbelievably exciting.",https://s1.ticketm.net/dam/a/8ae/34945ea3-f098-42fc-a832-bee65f2d18ae_SOURCE,https://www.ticketmaster.co.nz/sixthirty-session-beethoven-5-auckland-25-06-2025/event/2400627F98A01141,"Auckland, New Zealand",Classical - Symphonic
Perla Alara Kurşun Piyano Resitali,6/25/2025 17:00,Mozarthaus Sanat ve Konser Evi,See Website for more details,Perla Alara Kurşun,See Website for more details,https://s1.ticketm.net/dam/c/518/83a05c63-479c-4f7e-a7aa-1932aab77518_105461_ARTIST_PAGE_3_2.jpg,https://www.biletix.com/performance/4IG55/001/TURKIYE/tr,"Ankara, Turkey",Classical - Classical
 Ludovico Einaudi - The Summer Portraits Tour,6/25/2025 18:00,ING ARENA,See Website for more details,Ludovico Einaudi,See Website for more details,https://s1.ticketm.net/dam/a/184/7fcb4524-7d2e-4541-8b78-3e98d572f184_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.be/event/-ludovico-einaudi-the-summer-portraits-tour-tickets/1869576153,"Brussels, Belgium",Classical - Classical/Vocal
Philadelphia Orchestra w/ Joe Hisaishi,6/25/2025 23:00,Marian Anderson Hall - Kimmel Center,See Website for more details,The Philadelphia Orchestra,See Website for more details,https://s1.ticketm.net/dam/a/b32/ef3dbc12-1bc9-4fa4-b4df-9735e6d06b32_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fbO6,"Philadelphia, United States Of America",Classical - Other
One Piece Music Symphony: Live With The Atlanta Symphony Orchestra,6/25/2025 23:30,Atlanta Symphony Hall,See Website for more details,One Piece Music Symphony,See Website for more details,https://s1.ticketm.net/dam/e/c46/8faf9897-395b-4fbb-87d2-6bc9fae2dc46_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.com/one-piece-music-symphony-live-with-atlanta-georgia-06-25-2025/event/0E0060FAC98A6A1D,"Atlanta, United States Of America",Classical - Symphonic
Auckland Philharmonia: Beethoven 5,6/26/2025 7:30," Great Hall, Auckland Town Hall",See Website for more details,Auckland Philharmonia,"Child Policy: This performance is not suitable for children under six years old. Children under the age of 16 must be accompanied by an adult at all APO events. Conductor Giordano Bellincampi Violin Arabella Steinbacher Rossini La Cenerentola: Overture Mozart Violin Concerto No.5 'Turkish' Beethoven Symphony No.5 Est. running time one hour and 30 minutes including a 20-minute interval Start with a splash of champagne, as Giordano Bellincampi and the Auckland Philharmonia dash off Rossini's scintillating overture to his opera on the Cinderella story. The superb German violinist Arabella Steinbacher is always effortlessly elegant, and she has the perfect foil in Mozart's final violin concerto. Then Beethoven's lithe, muscular symphony. The Fifth is a favourite for a reason. No matter how many times you've heard this piece, it's always unbelievably exciting.",https://s1.ticketm.net/dam/a/8ae/34945ea3-f098-42fc-a832-bee65f2d18ae_SOURCE,https://www.ticketmaster.co.nz/auckland-philharmonia-beethoven-5-auckland-26-06-2025/event/24006193D9261349,"Auckland, New Zealand",Classical - Symphonic
IL DIVO - XXth Anniversary Tour,6/26/2025 18:00,O2 universum,See Website for more details,Il Divo,See Website for more details,https://s1.ticketm.net/dam/a/426/447a467f-0f83-40f1-84b0-96580affb426_EVENT_DETAIL_PAGE_16_9.jpg,https://www.ticketmaster.cz/event/il-divo-xxth-anniversary-tour-tickets/1059180294?language=en-us,"Praha 9, Czech Republic",Classical - Classical/Vocal
John Wilson & his Sinfonia of London,6/26/2025 18:30,Royal Albert Hall,See Website for more details,John Wilson and His Sinfonia Of London,Plus special guest soloists to be announced.,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.co.uk/john-wilson-his-sinfonia-of-london-london-26-06-2025/event/1F0060F9B552406B,"London, Great Britain",Classical - Classical/Vocal
Lindsey Stirling with Chicago Philharmonic,6/27/2025 0:30,Ravinia,See Website for more details,Lindsey Stirling,See Website for more details,https://s1.ticketm.net/dam/a/cc4/a41df293-8ce1-49f8-8b8f-83496149fcc4_RECOMENDATION_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A74-jM,"Highland Park, United States Of America",Classical - Classical/Vocal
Back to the Future In Concert w/ Chicago Symphony Orchestra,6/27/2025 0:30,Symphony Center-IL,See Website for more details,Back to the Future In Concert,See Website for more details,https://s1.ticketm.net/dam/c/518/83a05c63-479c-4f7e-a7aa-1932aab77518_105461_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7CeqE,"Chicago, United States Of America",Classical - Classical/Vocal
OCBA. Encuentros de texturas sonoras. 8+. Ingreso 19:30 h.,6/27/2025 2:00,Sala Manuel M. Ponce - Palacio de Bellas Artes,See Website for more details,Orquesta de Cámara de Bellas Artes,Iniciada la función el ingreso del publico demorado esta sujeto al programa: Orquesta de Cámara de Bellas Artes Encuentros de texturas sonoras.,https://s1.ticketm.net/dam/a/c6a/0da438c5-130c-4b46-a0f8-75a189a67c6a_EVENT_DETAIL_PAGE_16_9.jpg,https://www.ticketmaster.com.mx/ocba-encuentros-de-texturas-sonoras-8-mexico-26-06-2025/event/3D00623095DE1C81,Mexico,Classical - Symphonic
Jan Stanienda Chamber Music Festival Arsenal Nights: Charmy strings,6/27/2025 18:00,Arsenał Miejski - Dziedziniec,See Website for more details,Festiwal Muzyki Kameralnej Wieczory w Arsenale,See Website for more details,https://s1.ticketm.net/dam/a/445/a5c53aa8-aef8-46e1-aef2-1c694e8e0445_RETINA_LANDSCAPE_16_9.jpg,https://www.ticketmaster.pl/event/jan-stanienda-chamber-music-festival-arsenal-nights-charmy-strings-tickets/340252681?language=en-us,"Wroclaw, Poland",Classical - Classical/Vocal
"Sounds of the Universe: Zimmer, Richter, Einaudi by Mystery Ensemble",6/27/2025 18:30,Kensington United Reformed Church,See Website for more details,"Sounds of the Universe: Zimmer, Richter, Einaudi",See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RECOMENDATION_16_9.jpg,https://www.universe.com/events/sounds-of-the-universe-zimmer-richter-einaudi-by-mystery-ensemble-tickets-2K3WP9?ref=ticketmaster,"London, Great Britain",Classical - Classical/Vocal
Orquesta Sinfónica Juvenil Silvestre Revueltas,6/28/2025 2:00,Teatro del Bicentenario,See Website for more details,See Website for more details,"En el marco celebratorio por los primeros 20 años de su creación, la Orquesta Sinfónica Juvenil Silvestre Revueltas presentará un programa conformado por dos efemérides musicales de relevancia internacional. Interpretarán la obertura de la ópera El murciélago, de Richard Strauss II, en ocasión del bicentenario del fallecimiento del prolífico músico austriaco, cuya extensa obra abarca valses, polkas, marchas y cuadrillas que retratan a la sociedad vienesa del siglo XIX. Asimismo, presentarán la Sinfonía no. 10 de Dmitri Shostakóvich, la cual evoca sentimientos tan disímiles como tragedia, desesperación, terror y triunfo, y que ha sido ""traducida"" como una representación de los años del régimen de Stalin en Rusia, rememorando los millones de personas fallecidas bajo su régimen. Obra interpretada en conmemoración por el 50° aniversario luctuoso del compositor ruso.",https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com.mx/orquesta-sinfonica-juvenil-silvestre-revueltas-leon-27-06-2025/event/3D0062BC89AF390C,"Leon, Mexico",Classical - Symphonic
Brahms & Mataatua: A Journey in Music,6/28/2025 7:30,Dunedin Town Hall,See Website for more details,Dunedin Symphony Orchestra,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket Brahms's monumental Piano Concerto No. 2 was written when his compositional powers were at their peak. From a deceptively benign opening with a lone horn melody, the movements in turn evoke grace and turmoil, leading to an exhilarating climax.",https://s1.ticketm.net/dam/a/084/0346ed6d-2f33-4e07-bb89-3f137f6c5084_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.co.nz/brahms-mataatua-a-journey-in-music-dunedin-28-06-2025/event/2400623EB9A416B1,"Dunedin, New Zealand",Classical - Symphonic
Last Night of the Proms,6/28/2025 7:30,Bruce Mason Centre,See Website for more details,Last Night of the Proms,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket Child Policy: Children 3 and under are free if seated on parent/guardian's knee. A lap ticket must be collected from the box office prior to entry.",https://s1.ticketm.net/dam/a/eb9/26b1cdf7-bdfd-46a8-9de4-bd544cfd3eb9_SOURCE,https://www.ticketmaster.co.nz/last-night-of-the-proms-takapuna-beach-28-06-2025/event/24006278DE6A1764,"Takapuna Beach, New Zealand",Classical - Symphonic
